GEO_ID,NAME,DP05_0001E,S1701_C02_001E
34001,"Atlantic County, New Jersey",264650,34891
34003,"Bergen County, New Jersey",931275,59266
34005,"Burlington County, New Jersey",446301,25672
34007,"Camden County, New Jersey",506721,61612
34009,"Cape May County, New Jersey",92701,9013
34011,"Cumberland County, New Jersey",150085,22159
34013,"Essex County, New Jersey",798698,119131
34015,"Gloucester County, New Jersey",291745,20017
34017,"Hudson County, New Jersey",671923,94290
34019,"Hunterdon County, New Jersey",125063,4738
34021,"Mercer County, New Jersey",368085,39057
34023,"Middlesex County, New Jersey",825015,69102
34025,"Monmouth County, New Jersey",620821,39926
34027,"Morris County, New Jersey",492715,23240
34029,"Ocean County, New Jersey",602018,58802
34031,"Passaic County, New Jersey",502763,73484
34033,"Salem County, New Jersey",62754,8440
34035,"Somerset County, New Jersey",330151,16612
34037,"Sussex County, New Jersey",140996,7233
34039,"Union County, New Jersey",555208,48276
34041,"Warren County, New Jersey",105730,7743
