GEO_ID,NAME,S1701_C01_001E
34001,"Atlantic County, New Jersey",259283
34003,"Bergen County, New Jersey",920634
34005,"Burlington County, New Jersey",434130
34007,"Camden County, New Jersey",499824
34009,"Cape May County, New Jersey",90925
34011,"Cumberland County, New Jersey",138300
34013,"Essex County, New Jersey",778844
34015,"Gloucester County, New Jersey",287491
34017,"Hudson County, New Jersey",663439
34019,"Hunterdon County, New Jersey",121277
34021,"Mercer County, New Jersey",351713
34023,"Middlesex County, New Jersey",797084
34025,"Monmouth County, New Jersey",614663
34027,"Morris County, New Jersey",485155
34029,"Ocean County, New Jersey",594920
34031,"Passaic County, New Jersey",495390
34033,"Salem County, New Jersey",61301
34035,"Somerset County, New Jersey",326710
34037,"Sussex County, New Jersey",139634
34039,"Union County, New Jersey",548931
34041,"Warren County, New Jersey",104144
